,name,rating,review
0,Rang Mahal - Hotel Ajay International,3.0,Food is tasty and service is also good but the quantity is little bit small otherwise over all is better but not the best according to expectations
1,Rang Mahal - Hotel Ajay International,4.0,egular visitors from past fifften years food is very tasty enjoyed there all cusine with familyI reccomend Rang Mahal its a family place ambions of Resturant is changed for improvement
2,Rang Mahal - Hotel Ajay International,4.0,Super restaurant You can order just anything I was supposed to order kesariya murg but ordered patiala murgh Not to amaze flavor is superb The best dishes here are murgh lababdar butter chicken kesariya murgh murgh patiyala Garlic nan is good Place to visit again and again else order on zomato or swiggy Enjoy delicious food
3,Rang Mahal - Hotel Ajay International,3.5,xcellent place for party purposes Quite pocket friendly and the food is really delicious over here Every kind of food is available here and really good party arrangements are provided in the banquet halls
4,Rang Mahal - Hotel Ajay International,4.0,his is one of our must visit places during our visit to Allahabad This restaurant is located inside a Hotel So we went for dinner here on Tuesday Ordered for Butter Chicken  Chicken Lababdar  Paneer Tikka Masala along with Naan n Rotis   All the dishes tasted real good There butter chicken is their signature dish and a must try
5,Berco's,5.0,We are very glad that rahul and Viraj both are very cooperative serving food after 11 specially on holi day 
6,Berco's,5.0,worst food 
7,Berco's,5.0,
8,Berco's,5.0,Its really hard to find any delectable Thai cuisine specially in AllahabadThis Bercos is one of the best Chinese  Thai cuisine chain newly inaugurated in our cityThe presentation and taste is jst moreishIts definitely worth a try   Preferable for family get togethers  friends group   I had tried Chicken Chilly garlic noodlesThe taste was awsomeI loves the way they presented it and accurate use of all sauces in it Chrispy cornPerfect Crunch nd taste   Ambience455 Taste485 Worth Money45
9,Berco's,5.0,
10,Fusion Bar & Restaurant,4.0,
11,Jannat - Hotel Kanhashyam,2.0,You donot expect this from the only four star hotel of Allahabad Actually the staff never behave like they are a part of a premium hotel We ordered Chicken risotto and chilli paneer from the menu Risotto was good Chilli paneer was average Why I am supposed to pay more when I am getting average food
12,Jannat - Hotel Kanhashyam,5.0,his is the ultimate place to dine with your loved onesexcellent ambience food and servicespecial thanks to Mr Deepak singh and his team for all his service and hospitality
13,Jannat - Hotel Kanhashyam,1.0,Service  Pathetic The manager there had one sole purpose to count number of people Its a fixed menu buffet system where they will serve at table They actually do not serve you because the never repeat a starter If you ask again the waiter will leave to get it but never comes back Horrible fresh fruit juice Eventually when they dont serve you starters willingly you end up asking for main course Same behaviour as before Dishes served just once and if you ask to repeatmultiple requests because they dont hear at first time waiter will hide in a closet and you end with no option but to make compromise with hunger  Now dessert gulab jamun was served so cold as if just out from refrigerator  Food is not even worth Rs 70 and they charge Rs 700plus taxes  Food was absolutely blank in taste Manager looks like a crook and yes he is
14,Jannat - Hotel Kanhashyam,1.0,Went there with good hopes but it turned out to be a nightmare We were seated when the manager after taking our order asked us to vacate the table as he had a reservation which her forgot Very unprofessional and hostile We didnt rise and asked him to serve food We ordered veg Buffett They served cold food and starters were shit Despite ordering veg food they served mutton Precisely NEVER EVER GO TO THIS PLACE
15,Jannat - Hotel Kanhashyam,3.0,starters were good main course not up to the mark gazar ka halwa was very good ambience is oky biryani was also oky dont know why wine was so costly even costly than 5 star
16,Barbeque Nation,5.0,great lunch with friends on Barbeque Nation excellent Food quality 0910 Food taste 0910 Service time 0810 Stop behaviour 9910 Cleanliness 9510 Decoration 0810 Overall account experience with this Barbeque Nation
17,Barbeque Nation,5.0,
18,Barbeque Nation,5.0,wesome place to visit with family Lovely food Friendly staff Nice ambience Had a great experience A must visit place for food lovers
19,Barbeque Nation,5.0,Loved almost everything here  from table booking to staff to food and ambience everything is just osum  a definite worthy experience and way more for foodi people 
20,Barbeque Nation,5.0,
21,Relish Restaurant- The Legend Hotel,4.0,
22,Relish Restaurant- The Legend Hotel,5.0,
23,Relish Restaurant- The Legend Hotel,4.0,
24,Relish Restaurant- The Legend Hotel,1.0,he taste is worst when compared to the prices Same food you can get in any average restaurant in half price Never going here again and would recommend others the same
25,Relish Restaurant- The Legend Hotel,5.0,One of the best sizzlers in town If you like to have good food and time you can visit this place Must give a try Their drinks are also good
