Name,geo_loc
Allahabad Civil Lines,"(25.4544749, 81.8338255)"
Allahabad George Town,"(25.4505212, 81.8563842)"
Allahabad Tagore Town,"(25.4569942, 81.8636763)"
Allahabad The Legend Hotel,
Allahabad Meergunj,
Allahabad Ashok Nagar,"(25.4704386, 81.8216375)"
"Allahabad Vinayak City Centre Mall, Civil Lines",
Allahabad Katra,"(25.4656097, 81.8520114)"
Allahabad Dhoomanganj,"(25.4500193, 81.7823787)"
Allahabad Naini,"(25.4028924, 81.8628891)"
Allahabad Teliarganj,"(25.497944, 81.8585747)"
Allahabad Leader Road,"(25.4433488, 81.8320305)"
Allahabad Chowk,"(25.4375931, 81.8359182)"
Allahabad Bairahana,"(25.4381821, 81.857905)"
Allahabad Kareli,"(25.4275399, 81.8155288)"
"Allahabad P Square Mall, Civil Lines",
Allahabad Allapur,
Allahabad Rambagh,"(25.4394887, 81.8498592)"
Allahabad Colonel Ganj,"(25.4609019, 81.8563888)"
Allahabad Lukerganj,
Allahabad Rajrooppur,"(25.4284682, 81.8119933)"
Allahabad Alopi Bagh,
Allahabad Rajapur,
Allahabad Bamrouli,
Allahabad Govindpur,"(25.483881, 81.8759107)"
